EPBC Number,Stem,Url,Under Review,Scraped
2010/5478,?id=4692f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4692f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2010/5634,?id=9092f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9092f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2010/5500,?id=5792f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5792f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2009/5086,?id=6791f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6791f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2008/4208,?id=5d90f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5d90f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2008/4469,?id=94953121-e6dd-e611-bdfe-005056ba00a8,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=94953121-e6dd-e611-bdfe-005056ba00a8,True,2023/03/18
2010/5770,?id=d792f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d792f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/5827,?id=0893f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0893f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2005/2270,?id=ab93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ab93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2010/5296,?id=df91f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=df91f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
